name;source;description;special_remark;category_1;category_2
Ethanol from wheat grains;Cozzolini, F. Life Cycle Assessment of Biofuels in EU/CH, 2018.;Production of ethanol from maize starch. The burden associated with the supply of maize starch (e.g., direct and indirect land use change, fertlizers, electricity, etc.) is fully accounted for, as it is not a residual material. The transport and conditioning of the biomass residues is also accounted for.;This dataset has not been peer reviewed. Therefore, results using this datasets should be considered with caution.;material;Fuels\Biofuels\Ethanol\Transformation
Ethanol, from wheat grains, at fuelling station;Cozzolini, F. Life Cycle Assessment of Biofuels in EU/CH, 2018.;Production of ethanol from maize starch. The burden associated with the supply of maize starch (e.g., direct and indirect land use change, fertlizers, electricity, etc.) is fully accounted for, as it is not a residual material. The transport and conditioning of the biomass residues is also accounted for.;This dataset has not been peer reviewed. Therefore, results using this datasets should be considered with caution.;material;Fuels\Biofuels\Ethanol\Transformation
Ethanol from wheat straw pellets;Cozzolini, F. Life Cycle Assessment of Biofuels in EU/CH, 2018.;Production of ethanol from forest residues. There is no burden associated with the supply of biomass residues. That includes no burden associated to the production of crops and no burden associated to direct and indirect land use change. The transport and comnditioning of the biomass residues is howver accounted for.;This dataset has not been peer reviewed. Therefore, results using this datasets should be considered with caution.;material;Fuels\Biofuels\Ethanol\Transformation
Ethanol, from wheat straw pellets, at fuelling station;Cozzolini, F. Life Cycle Assessment of Biofuels in EU/CH, 2018.;Production of ethanol from forest residues. There is no burden associated with the supply of biomass residues. That includes no burden associated to the production of crops and no burden associated to direct and indirect land use change. The transport and comnditioning of the biomass residues is howver accounted for.;This dataset has not been peer reviewed. Therefore, results using this datasets should be considered with caution.;material;Fuels\Biofuels\Ethanol\Transformation
ethanol without biogas;Cozzolini, F. Life Cycle Assessment of Biofuels in EU/CH, 2018.;Production of ethanol from forest residues. There is no burden associated with the supply of biomass residues. That includes no burden associated to the production of crops and no burden associated to direct and indirect land use change. The transport and comnditioning of the biomass residues is howver accounted for.;This dataset has not been peer reviewed. Therefore, results using this datasets should be considered with caution.;material;Fuels\Biofuels\Ethanol\Transformation
Fixed bed reactor for RWGS;Van Der Giesen, C., Kleijn, R., Kramer, G. J. Energy and Climate Impacts of Producing Synthetic Hydrocarbon Fuels from CO2. Environ. Sci. Technol. 2014, 48 (12), 7111�7121. https://doi.org/10.1021/es500191g.;The reactor vessel consists of 4760 kg of steel (assuming 50 pct low alloyed steel and 50 pct chromium steel) and is filled with a mixture of 440 kg of RWGS catalyst and 1780 kg of sorbent, which need to be renewed every 4 years. Over a reactor lifetime of 30 years therefore 30/4 x 440 kg = 3300 kg of catalyst and 30/4 x 1780 kg = 13350 kg of sorbent is needed. Since two identical reactors are use in parallel all numbers are doubled in the unit process representing the construction of the fixed bed reactor.;;material;Fuels\Synthetic\Transformation\Infrastructure
frequency converter, for diaphragm compressor;Simons, A. and Bauer, C. (2015). A life-cycle perspective on automotive fuel cells, Applied Energy, doi:10.1016/j.apenergy.2015.02.049;;;material;Fuels\Hydrogen\Transformation\Infrastructure
Fuel tank, compressed hydrogen gas, 700bar;Boureima et al. 2009;a Type IV fuel tank for automobile applications. It is an aluminium tank reinforced with carbon fibre. Fittings are stainless steel. Weight compoistion by material fraction from Argonne National Labs 2010 assessment.;;transport;Road\Vehicle components\Energy storage\Hydrogen tank
Fuel tank, compressed hydrogen gas, 700bar, with aluminium liner;Evangelisti et al. 2017, doi: 10.1016/j.jclepro.2016.11.159;An aluminium lined hydrogen tank (Type III), weighting 93 kg per unit.;;transport;Road\Vehicle components\Energy storage\Hydrogen tank
Fuel tank, compressed hydrogen gas, 700bar, with HDPE liner;Evangelisti et al. 2017, doi: 10.1016/j.jclepro.2016.11.159;a carbon fiber-resin (CF) composite-wrapped single tank system, with a high density polyethylene (HDPE) liner (i.e., Type IV tanks) capable of storing 5.6 kg usable hydrogen, weighting 119 kg per unit.;;transport;Road\Vehicle components\Energy storage\Hydrogen tank
Gas Diffusion Layer;Miotti, M., Hofer, J. & Bauer, C. Integrated environmental and economic assessment of current and future fuel cell vehicles. Int J Life Cycle Assess 22, 94�110 (2017). https://doi.org/10.1007/s11367-015-0986-4;;;transport;Road\Vehicle components\Powertrain\Fuel cell
Gas-to-liquid plant construction;Van Der Giesen, C., Kleijn, R., Kramer, G. J. Energy and Climate Impacts of Producing Synthetic Hydrocarbon Fuels from CO2. Environ. Sci. Technol. 2014, 48 (12), 7111�7121. https://doi.org/10.1021/es500191g.;Represents an input of 1.120.000 m2 of land, 14.400 ton of steel in an assumed equal division of reinforcing and low alloyed steel, 345.000 m3 of concrete.;;material;Fuels\Synthetic\Transformation\Infrastructure
gasoline production, from methanol, hydrogen from electrolysis, CO2 from DAC, economic allocation;Hank et al. 2019, Comparative well-to-wheel life cycle assessment of OME3�5 synfuel production via the power-to-liquid pathway, doi: 10.1039/C9SE00658C (adapted, not in its original form);the production of synthetic gasoline from methanol. The methanol is produced with hydrogen from electrolysis and carbon monoxide. The carbon monoxide orginates from carbon dioxde captured via direct air capture (DAC).;;material;Fuels\Synthetic\Transformation
gasoline production, from methanol, hydrogen from electrolysis, CO2 from DAC, energy allocation;Hank et al. 2019, Comparative well-to-wheel life cycle assessment of OME3�5 synfuel production via the power-to-liquid pathway, doi: 10.1039/C9SE00658C (adapted, not in its original form);the production of synthetic gasoline from methanol. The methanol is produced with hydrogen from electrolysis and carbon monoxide. The carbon monoxide orginates from carbon dioxde captured via direct air capture (DAC).;;material;Fuels\Synthetic\Transformation
gasoline production, synthetic, from methanol, hydrogen from electrolysis, CO2 from DAC, economic allocation, at fuelling station;Hank et al. 2019, Comparative well-to-wheel life cycle assessment of OME3�5 synfuel production via the power-to-liquid pathway, doi: 10.1039/C9SE00658C (adapted, not in its original form);the production of synthetic gasoline from methanol. The methanol is produced with hydrogen from electrolysis and carbon monoxide. The carbon monoxide orginates from carbon dioxde captured via direct air capture (DAC).;;material;Fuels\Synthetic\Transformation
gasoline production, synthetic, from methanol, hydrogen from electrolysis, CO2 from DAC, energy allocation, at fuelling station;Hank et al. 2019, Comparative well-to-wheel life cycle assessment of OME3�5 synfuel production via the power-to-liquid pathway, doi: 10.1039/C9SE00658C (adapted, not in its original form);the production of synthetic gasoline from methanol. The methanol is produced with hydrogen from electrolysis and carbon monoxide. The carbon monoxide orginates from carbon dioxde captured via direct air capture (DAC).;;material;Fuels\Synthetic\Transformation
Glider lightweighting;Brian Cox, Christian Bauer, Angelica Mendoza Beltran, Detlef P. van Vuuren, Christopher L. Mutel, Life cycle environmental and cost comparison of current and future passenger cars under different energy scenarios, Applied Energy, Volume 269, 2020, 115021, ISSN 0306-619, https://doi.org/10.1016/j.apenergy.2020.115021.;;;transport;Road\Vehicle components
hardwood forestry, birch, sustainable forest management_CF = -1;Antonini, C., Treyer, K., Moioli, E., Bauer, C., Marco, M. Hydrogen from Wood Gasification with CCS - a Techno-Environmental Analysis of Production and Use as Transport Fuel (in Review). Sustain. Energy Fuels 2020;Ecoinvent dataset adjusted to correct the carbon balance.;;material;Fuels\Synthetic\Feedstock
hardwood forestry, beech, sustainable forest management_CF = -1;Antonini, C., Treyer, K., Moioli, E., Bauer, C., Marco, M. Hydrogen from Wood Gasification with CCS - a Techno-Environmental Analysis of Production and Use as Transport Fuel (in Review). Sustain. Energy Fuels 2020;Ecoinvent dataset adjusted to correct the carbon balance.;;material;Fuels\Synthetic\Feedstock
hardwood forestry, mixed species, sustainable forest management, CF = -1;Antonini, C., Treyer, K., Moioli, E., Bauer, C., Marco, M. Hydrogen from Wood Gasification with CCS - a Techno-Environmental Analysis of Production and Use as Transport Fuel (in Review). Sustain. Energy Fuels 2020;Ecoinvent dataset adjusted to correct the carbon balance.;;material;Fuels\Synthetic\Feedstock
hardwood forestry, oak, sustainable forest management_CF = -1;Antonini, C., Treyer, K., Moioli, E., Bauer, C., Marco, M. Hydrogen from Wood Gasification with CCS - a Techno-Environmental Analysis of Production and Use as Transport Fuel (in Review). Sustain. Energy Fuels 2020;Ecoinvent dataset adjusted to correct the carbon balance.;;material;Fuels\Synthetic\Feedstock
heat exchanger, carbon dioxide capture process;Timofte, A. A Life Cycle Assessment of the Climeworks technology for direct air capture of carbon dioxide, a semester project in the ecological systems design group. Institute of Environmental Engineering of ETH Zurich (2013).;;;material;Fuels\Synthetic\Carbon capture and storage\Transformation\Infrastructure
Heat transfer plate;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;;;transport;Road\Vehicle components\Energy storage\Lithium-ion battery
High voltage system;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;;;transport;Road\Vehicle components\Energy storage\Lithium-ion battery
hot water tank, carbon dioxide capture process;Timofte, A. A Life Cycle Assessment of the Climeworks technology for direct air capture of carbon dioxide, a semester project in the ecological systems design group. Institute of Environmental Engineering of ETH Zurich (2013).;;;material;Fuels\Synthetic\Carbon capture and storage\Transformation\Infrastructure
Hydrogen dispenser, for gaseous hydrogen;Simons, A. and Bauer, C. (2015). A life-cycle perspective on automotive fuel cells, Applied Energy, doi:10.1016/j.apenergy.2015.02.049;;;material;Fuels\Hydrogen\Transformation\Infrastructure
Hydrogen refuelling station, SMR;Simons, A. and Bauer, C. (2015). A life-cycle perspective on automotive fuel cells, Applied Energy, doi:10.1016/j.apenergy.2015.02.049;;;material;Fuels\Hydrogen\Transformation\Infrastructure
Hydrogen, gaseous, 25 bar, from dual fluidised bed gasification of woody biomass with CCS, at gasification plant;Antonini, C., Treyer, K., Moioli, E., Bauer, C., Marco, M. Hydrogen from Wood Gasification with CCS - a Techno-Environmental Analysis of Production and Use as Transport Fuel (in Review). Sustain. Energy Fuels 2020;Gaseous hydrogen at 25 bar before compression to 700 bar, produced from the gasification of woody biomass, with subsequent sequestration of carbon.;;material;Fuels\Hydrogen\Transformation\Carbon capture and storage\Transformation
Hydrogen, gaseous, 25 bar, from dual fluidised bed gasification of woody biomass, at gasification plant;Antonini, C., Treyer, K., Moioli, E., Bauer, C., Marco, M. Hydrogen from Wood Gasification with CCS - a Techno-Environmental Analysis of Production and Use as Transport Fuel (in Review). Sustain. Energy Fuels 2020;Gaseous hydrogen at 25 bar before compression to 700 bar, produced from the gasification of woody biomass.;;material;Fuels\Hydrogen\Transformation
Hydrogen, gaseous, 25 bar, from electrolysis;X. Zhang, C. Bauer, C.L. Mutel, K. Volkart, Life Cycle Assessment of Power-to-Gas: Approaches, system variations and their environmental implications, Appl Energy, 190 (2017), pp. 326-338, 10.1016/j.apenergy.2016.12.098;Hydrogen production by electrolysis. Output pressure of 25 bar. The electricity mix to operate the electrolyzer can be adapted. Assumed 58 kWh/kg H2.;;material;Fuels\Hydrogen\Transformation
Hydrogen, gaseous, 25 bar, from gasification of woody biomass in oxy-fired entrained flow gasifier, at gasification plant;Antonini, C., Treyer, K., Moioli, E., Bauer, C., Marco, M. Hydrogen from Wood Gasification with CCS - a Techno-Environmental Analysis of Production and Use as Transport Fuel (in Review). Sustain. Energy Fuels 2020;;;material;Fuels\Hydrogen\Transformation
Hydrogen, gaseous, 25 bar, from gasification of woody biomass in oxy-fired entrained flow gasifier, with CCS, at gasification plant;Antonini, C., Treyer, K., Moioli, E., Bauer, C., Marco, M. Hydrogen from Wood Gasification with CCS - a Techno-Environmental Analysis of Production and Use as Transport Fuel (in Review). Sustain. Energy Fuels 2020;;;material;Fuels\Hydrogen\Transformation\Carbon capture and storage\Transformation
Hydrogen, gaseous, 25 bar, from heatpipe reformer gasification of woody biomass with CCS, at gasification plant;Antonini, C., Treyer, K., Moioli, E., Bauer, C., Marco, M. Hydrogen from Wood Gasification with CCS - a Techno-Environmental Analysis of Production and Use as Transport Fuel (in Review). Sustain. Energy Fuels 2020;;;material;Fuels\Hydrogen\Transformation
Hydrogen, gaseous, 25 bar, from heatpipe reformer gasification of woody biomass, at gasification plant;Antonini, C., Treyer, K., Moioli, E., Bauer, C., Marco, M. Hydrogen from Wood Gasification with CCS - a Techno-Environmental Analysis of Production and Use as Transport Fuel (in Review). Sustain. Energy Fuels 2020;;;material;Fuels\Hydrogen\Transformation
Hydrogen, gaseous, 25 bar, from gasification of woody biomass in entrained flow gasifier, with CCS, at gasification plant;Antonini, C., Treyer, K., Moioli, E., Bauer, C., Marco, M. Hydrogen from Wood Gasification with CCS - a Techno-Environmental Analysis of Production and Use as Transport Fuel (in Review). Sustain. Energy Fuels 2020;;;material;Fuels\Hydrogen\Transformation
Hydrogen, gaseous, 25 bar, from gasification of woody biomass in entrained flow gasifier, at gasification plant;Antonini, C., Treyer, K., Moioli, E., Bauer, C., Marco, M. Hydrogen from Wood Gasification with CCS - a Techno-Environmental Analysis of Production and Use as Transport Fuel (in Review). Sustain. Energy Fuels 2020;;;material;Fuels\Hydrogen\Transformation
Hydrogen, gaseous, 30 bar, from hard coal gasification and reforming, at coal gasification plant;Antonini et al. 2020, Hydrogen production from natural gas and biomethane with carbon capture and storage � A techno-environmental analysis, doi: 10.1039/D0SE00222D;;;material;Fuels\Hydrogen\Transformation
Hydrogen, gaseous, 700 bar, ATR of NG, at fuelling station;Antonini et al. 2020, Hydrogen production from natural gas and biomethane with carbon capture and storage � A techno-environmental analysis, doi: 10.1039/D0SE00222D;Hydrogen compressed from 25 bar to 700 bar. Electricity for compression: 3.2 kWh/kg H2 @ 700 bar, according to U.S. Department of Energy 2009 (https://www.hydrogen.energy.gov/pdfs/9013_energy_requirements_for_hydrogen_gas_compression.pdf). Includes 250 km of high-pressure truck transport to fuelling station. Includes 2% loss from the H2 plant to the vehicle tank.;;material;Fuels\Hydrogen\Transformation
Hydrogen, gaseous, 700 bar, ATR of NG, with CCS, at fuelling station;Antonini et al. 2020, Hydrogen production from natural gas and biomethane with carbon capture and storage � A techno-environmental analysis, doi: 10.1039/D0SE00222D;Hydrogen compressed from 25 bar to 700 bar. Electricity for compression: 3.2 kWh/kg H2 @ 700 bar, according to U.S. Department of Energy 2009 (https://www.hydrogen.energy.gov/pdfs/9013_energy_requirements_for_hydrogen_gas_compression.pdf). Includes 250 km of high-pressure truck transport to fuelling station. Includes 2% loss from the H2 plant to the vehicle tank.;;material;Fuels\Hydrogen\Transformation\Carbon capture and storage\Transformation
Hydrogen, gaseous, 700 bar, from ATR of biogas with CCS, at fuelling station;Antonini et al. 2020, Hydrogen production from natural gas and biomethane with carbon capture and storage � A techno-environmental analysis, doi: 10.1039/D0SE00222D;Hydrogen compressed from 25 bar to 700 bar. Electricity for compression: 3.2 kWh/kg H2 @ 700 bar, according to U.S. Department of Energy 2009 (https://www.hydrogen.energy.gov/pdfs/9013_energy_requirements_for_hydrogen_gas_compression.pdf). Includes 250 km of high-pressure truck transport to fuelling station. Includes 2% loss from the H2 plant to the vehicle tank.;;material;Fuels\Hydrogen\Transformation\Carbon capture and storage\Transformation
Hydrogen, gaseous, 700 bar, from ATR of biogas, at fuelling station;Antonini et al. 2020, Hydrogen production from natural gas and biomethane with carbon capture and storage � A techno-environmental analysis, doi: 10.1039/D0SE00222D;Hydrogen compressed from 25 bar to 700 bar. Electricity for compression: 3.2 kWh/kg H2 @ 700 bar, according to U.S. Department of Energy 2009 (https://www.hydrogen.energy.gov/pdfs/9013_energy_requirements_for_hydrogen_gas_compression.pdf). Includes 250 km of high-pressure truck transport to fuelling station. Includes 2% loss from the H2 plant to the vehicle tank.;;material;Fuels\Hydrogen\Transformation
Hydrogen, gaseous, 700 bar, from coal gasification, at fuelling station;Antonini et al. 2020, Hydrogen production from natural gas and biomethane with carbon capture and storage � A techno-environmental analysis, doi: 10.1039/D0SE00222D;Hydrogen compressed from 25 bar to 700 bar. Electricity for compression: 3.2 kWh/kg H2 @ 700 bar, according to U.S. Department of Energy 2009 (https://www.hydrogen.energy.gov/pdfs/9013_energy_requirements_for_hydrogen_gas_compression.pdf). Includes 250 km of high-pressure truck transport to fuelling station. Includes 2% loss from the H2 plant to the vehicle tank.;;material;Fuels\Hydrogen\Transformation
Hydrogen, gaseous, 700 bar, from dual fluidised bed gasification of woody biomass with CCS, at fuelling station;Antonini, C., Treyer, K., Moioli, E., Bauer, C., Marco, M. Hydrogen from Wood Gasification with CCS - a Techno-Environmental Analysis of Production and Use as Transport Fuel (in Review). Sustain. Energy Fuels 2020;Hydrogen compressed from 25 bar to 700 bar. Electricity for compression: 3.2 kWh/kg H2 @ 700 bar, according to U.S. Department of Energy 2009 (https://www.hydrogen.energy.gov/pdfs/9013_energy_requirements_for_hydrogen_gas_compression.pdf). Includes 250 km of high-pressure truck transport to fuelling station. Includes 2% loss from the H2 plant to the vehicle tank.;;material;Fuels\Hydrogen\Transformation\Carbon capture and storage\Transformation
Hydrogen, gaseous, 700 bar, from dual fluidised bed gasification of woody biomass, at fuelling station;Antonini, C., Treyer, K., Moioli, E., Bauer, C., Marco, M. Hydrogen from Wood Gasification with CCS - a Techno-Environmental Analysis of Production and Use as Transport Fuel (in Review). Sustain. Energy Fuels 2020;Hydrogen compressed from 25 bar to 700 bar. Electricity for compression: 3.2 kWh/kg H2 @ 700 bar, according to U.S. Department of Energy 2009 (https://www.hydrogen.energy.gov/pdfs/9013_energy_requirements_for_hydrogen_gas_compression.pdf). Includes 250 km of high-pressure truck transport to fuelling station. Includes 2% loss from the H2 plant to the vehicle tank.;;material;Fuels\Hydrogen\Transformation
Hydrogen, gaseous, 700 bar, from electrolysis, at fuelling station;Antonini et al. 2020, Hydrogen production from natural gas and biomethane with carbon capture and storage � A techno-environmental analysis, doi: 10.1039/D0SE00222D;Hydrogen compressed from 25 bar to 700 bar. Electricity for compression: 3.2 kWh/kg H2 @ 700 bar, according to U.S. Department of Energy 2009 (https://www.hydrogen.energy.gov/pdfs/9013_energy_requirements_for_hydrogen_gas_compression.pdf). Includes 250 km of high-pressure truck transport to fuelling station. Includes 2% loss from the H2 plant to the vehicle tank.;;material;Fuels\Hydrogen\Transformation
Hydrogen, gaseous, 700 bar, from electrolysis, from label-certified electricity, at fuelling station;Antonini et al. 2020, Hydrogen production from natural gas and biomethane with carbon capture and storage � A techno-environmental analysis, doi: 10.1039/D0SE00222D;Hydrogen compressed from 25 bar to 700 bar. Electricity for compression: 3.2 kWh/kg H2 @ 700 bar, according to U.S. Department of Energy 2009 (https://www.hydrogen.energy.gov/pdfs/9013_energy_requirements_for_hydrogen_gas_compression.pdf). Includes 250 km of high-pressure truck transport to fuelling station. Includes 2% loss from the H2 plant to the vehicle tank.;;material;Fuels\Hydrogen\Transformation
Hydrogen, gaseous, 700 bar, from gasification of woody biomass in oxy-fired entrained flow gasifier, at fuelling station;Antonini, C., Treyer, K., Moioli, E., Bauer, C., Marco, M. Hydrogen from Wood Gasification with CCS - a Techno-Environmental Analysis of Production and Use as Transport Fuel (in Review). Sustain. Energy Fuels 2020;Hydrogen compressed from 25 bar to 700 bar. Electricity for compression: 3.2 kWh/kg H2 @ 700 bar, according to U.S. Department of Energy 2009 (https://www.hydrogen.energy.gov/pdfs/9013_energy_requirements_for_hydrogen_gas_compression.pdf). Includes 250 km of high-pressure truck transport to fuelling station. Includes 2% loss from the H2 plant to the vehicle tank.;;material;Fuels\Hydrogen\Transformation
Hydrogen, gaseous, 700 bar, from gasification of woody biomass in oxy-fired entrained flow gasifier, with CCS, at fuelling station;Antonini, C., Treyer, K., Moioli, E., Bauer, C., Marco, M. Hydrogen from Wood Gasification with CCS - a Techno-Environmental Analysis of Production and Use as Transport Fuel (in Review). Sustain. Energy Fuels 2020;Hydrogen compressed from 25 bar to 700 bar. Electricity for compression: 3.2 kWh/kg H2 @ 700 bar, according to U.S. Department of Energy 2009 (https://www.hydrogen.energy.gov/pdfs/9013_energy_requirements_for_hydrogen_gas_compression.pdf). Includes 250 km of high-pressure truck transport to fuelling station. Includes 2% loss from the H2 plant to the vehicle tank.;;material;Fuels\Hydrogen\Transformation\Carbon capture and storage\Transformation
Hydrogen, gaseous, 700 bar, from gasification of woody biomass in entrained flow gasifier, with CCS, at fuelling station;Antonini, C., Treyer, K., Moioli, E., Bauer, C., Marco, M. Hydrogen from Wood Gasification with CCS - a Techno-Environmental Analysis of Production and Use as Transport Fuel (in Review). Sustain. Energy Fuels 2020;Hydrogen compressed from 25 bar to 700 bar. Electricity for compression: 3.2 kWh/kg H2 @ 700 bar, according to U.S. Department of Energy 2009 (https://www.hydrogen.energy.gov/pdfs/9013_energy_requirements_for_hydrogen_gas_compression.pdf). Includes 250 km of high-pressure truck transport to fuelling station. Includes 2% loss from the H2 plant to the vehicle tank.;;material;Fuels\Hydrogen\Transformation\Carbon capture and storage\Transformation
Hydrogen, gaseous, 700 bar, from gasification of woody biomass in entrained flow gasifier, at fuelling station;Antonini, C., Treyer, K., Moioli, E., Bauer, C., Marco, M. Hydrogen from Wood Gasification with CCS - a Techno-Environmental Analysis of Production and Use as Transport Fuel (in Review). Sustain. Energy Fuels 2020;Hydrogen compressed from 25 bar to 700 bar. Electricity for compression: 3.2 kWh/kg H2 @ 700 bar, according to U.S. Department of Energy 2009 (https://www.hydrogen.energy.gov/pdfs/9013_energy_requirements_for_hydrogen_gas_compression.pdf). Includes 250 km of high-pressure truck transport to fuelling station. Includes 2% loss from the H2 plant to the vehicle tank.;;material;Fuels\Hydrogen\Transformation\Carbon capture and storage\Transformation
Hydrogen, gaseous, 700 bar, from heatpipe reformer gasification of woody biomass, at fuelling station;Antonini, C., Treyer, K., Moioli, E., Bauer, C., Marco, M. Hydrogen from Wood Gasification with CCS - a Techno-Environmental Analysis of Production and Use as Transport Fuel (in Review). Sustain. Energy Fuels 2020;Hydrogen compressed from 25 bar to 700 bar. Electricity for compression: 3.2 kWh/kg H2 @ 700 bar, according to U.S. Department of Energy 2009 (https://www.hydrogen.energy.gov/pdfs/9013_energy_requirements_for_hydrogen_gas_compression.pdf). Includes 250 km of high-pressure truck transport to fuelling station. Includes 2% loss from the H2 plant to the vehicle tank.;;material;Fuels\Hydrogen\Transformation\Carbon capture and storage\Transformation
Hydrogen, gaseous, 700 bar, from heatpipe reformer gasification of woody biomass with CCS, at fuelling station;Antonini, C., Treyer, K., Moioli, E., Bauer, C., Marco, M. Hydrogen from Wood Gasification with CCS - a Techno-Environmental Analysis of Production and Use as Transport Fuel (in Review). Sustain. Energy Fuels 2020;Hydrogen compressed from 25 bar to 700 bar. Electricity for compression: 3.2 kWh/kg H2 @ 700 bar, according to U.S. Department of Energy 2009 (https://www.hydrogen.energy.gov/pdfs/9013_energy_requirements_for_hydrogen_gas_compression.pdf). Includes 250 km of high-pressure truck transport to fuelling station. Includes 2% loss from the H2 plant to the vehicle tank.;;material;Fuels\Hydrogen\Transformation\Carbon capture and storage\Transformation
Hydrogen, gaseous, 700 bar, from SMR of biogas with CCS, at fuelling station;Antonini et al. 2020, Hydrogen production from natural gas and biomethane with carbon capture and storage � A techno-environmental analysis, doi: 10.1039/D0SE00222D;Hydrogen compressed from 25 bar to 700 bar. Electricity for compression: 3.2 kWh/kg H2 @ 700 bar, according to U.S. Department of Energy 2009 (https://www.hydrogen.energy.gov/pdfs/9013_energy_requirements_for_hydrogen_gas_compression.pdf). Includes 250 km of high-pressure truck transport to fuelling station. Includes 2% loss from the H2 plant to the vehicle tank.;;material;Fuels\Hydrogen\Transformation\Carbon capture and storage\Transformation
Hydrogen, gaseous, 700 bar, from SMR of biogas, at fuelling station;Antonini et al. 2020, Hydrogen production from natural gas and biomethane with carbon capture and storage � A techno-environmental analysis, doi: 10.1039/D0SE00222D;Hydrogen compressed from 25 bar to 700 bar. Electricity for compression: 3.2 kWh/kg H2 @ 700 bar, according to U.S. Department of Energy 2009 (https://www.hydrogen.energy.gov/pdfs/9013_energy_requirements_for_hydrogen_gas_compression.pdf). Includes 250 km of high-pressure truck transport to fuelling station. Includes 2% loss from the H2 plant to the vehicle tank.;;material;Fuels\Hydrogen\Transformation
Hydrogen, gaseous, 700 bar, from SMR of NG, at fuelling station;Antonini et al. 2020, Hydrogen production from natural gas and biomethane with carbon capture and storage � A techno-environmental analysis, doi: 10.1039/D0SE00222D;Hydrogen compressed from 25 bar to 700 bar. Electricity for compression: 3.2 kWh/kg H2 @ 700 bar, according to U.S. Department of Energy 2009 (https://www.hydrogen.energy.gov/pdfs/9013_energy_requirements_for_hydrogen_gas_compression.pdf). Includes 250 km of high-pressure truck transport to fuelling station. Includes 2% loss from the H2 plant to the vehicle tank.;;material;Fuels\Hydrogen\Transformation
Hydrogen, gaseous, 700 bar, from SMR of NG, with CCS, at fuelling station;Antonini et al. 2020, Hydrogen production from natural gas and biomethane with carbon capture and storage � A techno-environmental analysis, doi: 10.1039/D0SE00222D;Hydrogen compressed from 25 bar to 700 bar. Electricity for compression: 3.2 kWh/kg H2 @ 700 bar, according to U.S. Department of Energy 2009 (https://www.hydrogen.energy.gov/pdfs/9013_energy_requirements_for_hydrogen_gas_compression.pdf). Includes 250 km of high-pressure truck transport to fuelling station. Includes 2% loss from the H2 plant to the vehicle tank.;;material;Fuels\Hydrogen\Transformation\Carbon capture and storage\Transformation
IBIS;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;;;transport;Road\Vehicle components\Energy storage\Lithium-ion battery
IBIS fasteners;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;;;transport;Road\Vehicle components\Energy storage\Lithium-ion battery
Inner frame;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;;;transport;Road\Vehicle components\Energy storage\Lithium-ion battery
Lithium iron phosphate [LiFePO4];Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;;;transport;Road\Vehicle components\Energy storage\Lithium-ion battery
Lower retention;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;;;transport;Road\Vehicle components\Energy storage\Lithium-ion battery
Low voltage system;Tobias S. Schmidt, Martin Beuse, Xiaojin Zhang, Bjarne Steffen, Simon F. Schneider, Alejandro Pena-Bello, Christian Bauer, and David Parra, Additional Emissions and Cost from Storing Electricity in Stationary Battery Systems, Environmental Science & Technology 2019 53 (7), 3379-3390, doi: 10.1021/acs.est.8b05317;;;transport;Road\Vehicle components\Energy storage\Lithium-ion battery
